"year","coverage","surge","mean_residual","raw_residual","observed"
1980,1.0027397260274,0.805370104735883,-0.0103701047358834,0.795,2.169
1981,1,0.504134360730594,0.0108656392694064,0.515,2.239
1982,1,0.624570205479452,-0.0325702054794521,0.592,2.315
1983,1,0.653306392694064,0.0376936073059361,0.691,2.248
1984,1.0027397260274,0.938996015482696,0.00500398451730419,0.944,2.148
1985,1,0.643409589041096,-0.0174095890410959,0.626,2.16
1986,1,0.631484246575342,-0.0184842465753425,0.613,2.34
1987,1,1.00633938356164,0.00766061643835616,1.014,2.437
1988,1.0027397260274,0.774336065573771,-0.0223360655737705,0.752,2.041
1989,1,0.504403652968036,-0.0434036529680365,0.461,2.123
1990,0.842009132420091,0.778584734273319,-0.0375847342733189,0.741,2.513
1991,1,1.02446095890411,0.0115390410958904,1.036,2.34
1992,1.0027397260274,0.709008652094718,-0.00100865209471767,0.708,2.157
1993,1,0.980386073059361,-0.00038607305936073,0.98,2.132
1994,1,0.700086643835616,-0.0350866438356164,0.665,2.266
1995,1,0.926688356164383,0.0103116438356164,0.937,2.315
1996,1.0027397260274,0.763200136612022,0.0417998633879781,0.805,2.19
1997,1,0.699425228310502,0.0295747716894977,0.729,2.322
1998,1,0.678688698630137,0.044311301369863,0.723,2.17
1999,1,0.540728538812785,-0.00872853881278539,0.532,2.085
2000,1.0027397260274,0.660558401639344,-0.00555840163934426,0.655,2.211
2001,1,0.72616700913242,-0.00716700913242009,0.719,2.189
2002,1,0.66939394977169,-0.0203939497716895,0.649,2.311
2003,1,0.83224098173516,0.000759018264840182,0.833,2.298
2004,1.0027397260274,0.621657900728598,0.0143420992714025,0.636,2.232
2005,1,0.6732649543379,0.0707350456621005,0.744,2.344
2006,1,0.717023630136986,0.0449763698630137,0.762,2.302
2007,0.968721461187215,0.816668866368136,-0.0106688663681358,0.806,2.455
2008,1.0027397260274,0.596792805100182,0.0102071948998179,0.607,2.24
2009,1,0.762453652968037,0.0645463470319635,0.827,2.286
2010,1,1.12937819634703,0.137621803652968,1.267,2.4
2011,1,0.718035159817352,0.0909648401826484,0.809,2.372
2012,1.0027397260274,0.901213797814208,0.0857862021857923,0.987,2.446
2013,1,0.806617351598174,0.0673826484018265,0.874,2.338
2014,1,0.552592465753425,0.0594075342465753,0.612,2.401
2015,1,1.04286392694064,0.00213607305936073,1.045,2.242
2016,1.0027397260274,0.601244421675774,0.0427555783242259,0.644,2.269
2017,1,0.858858561643836,0.0741414383561644,0.933,2.387
2018,1,0.727709132420091,0.0742908675799087,0.802,2.534
2019,1,0.922175,0.086825,1.009,2.334
2020,1.0027397260274,0.741029940801457,0.0819700591985428,0.823,2.28
2021,1,0.626582305936073,0.0844176940639269,0.711,2.248
2022,1,0.895104337899544,0.0748956621004566,0.97,2.594
2023,1,0.726267922374429,0.154732077625571,0.881,2.317
2024,1.0027397260274,0.950069444444444,0.138930555555556,1.089,2.929
2025,1,0.495628538812785,0.0913714611872146,0.587,2.132
